"Name","State","Notes","User","Tags","Created","Runtime","Sweep","checkpoint_step","layer","method","shuffle_labels","test_percentage","train_dataset_group","dataset/num_samples","labels/max","labels/mean","labels/min","labels/std","magnitude/combined_mean","magnitude/test_mean","magnitude/train_mean","model/input_dim","model/output_dim","normalize_features","test/mae","test/mse","test/pearson","test/r2","test/rmse","train/final_mae","train/final_mse","train/method"
"closedform_virulence_probe_dataset_epoch=0-step=99-consumed_samples=800.0-last__layer_10_merged_testpercent0.9_shuffle_labels_False","finished","-","","","2025-10-21T16:36:32.000Z","4","","100","10","closed_form","False","0.9","probe_dataset_evo2_7b_merged","37","7","4.393783782382269","0.15000000596046448","1.8911205825524868","2.6543219089508057","2.6543850898742676","2.653754711151123","4096","1","false","1.5228365659713743","3.949639081954956","0.3977005444949462","0.03912439261018974","1.9873698905727024","0.00005080691698822193","4.492668015387835e-9","closed_form"
"closedform_virulence_probe_dataset_epoch=0-step=1999-consumed_samples=16000.0-last__layer_26_merged_testpercent0.9_shuffle_labels_False","finished","-","","","2025-10-21T16:36:21.000Z","4","","2000","26","closed_form","False","0.9","probe_dataset_evo2_7b_merged","37","7","4.393783782382269","0.15000000596046448","1.8911205825524868","15.387544631958008","15.388763427734377","15.37661838531494","4096","1","false","1.6757405996322632","4.699183464050293","0.3677556703335814","-0.14322618918342078","2.167760010713892","0.0000040003578760661185","2.2500541360659376e-11","closed_form"
"closedform_virulence_probe_dataset_epoch=0-step=199-consumed_samples=1600.0-last__layer_3_merged_testpercent0.9_shuffle_labels_False","finished","-","","","2025-10-21T16:36:09.000Z","4","","200","3","closed_form","False","0.9","probe_dataset_evo2_7b_merged","37","7","4.393783782382269","0.15000000596046448","1.8911205825524868","0.3360775411128998","0.3360995650291443","0.33587998151779175","4096","1","false","1.7967872619628906","6.18554162979126","0.35131428334563947","-0.5048302260390858","2.48707491439065","0.37538209557533264","0.33180391788482666","closed_form"
"closedform_virulence_probe_dataset_epoch=0-step=999-consumed_samples=8000.0-last__layer_21_merged_testpercent0.9_shuffle_labels_False","finished","-","","","2025-10-21T16:35:40.000Z","4","","1000","21","closed_form","False","0.9","probe_dataset_evo2_7b_merged","37","7","4.393783782382269","0.15000000596046448","1.8911205825524868","6.633603572845459","6.633817195892334","6.6316914558410645","4096","1","false","1.5720967054367063","4.271531581878662","0.3740881725087139","-0.03918620275839646","2.06676839096176","0.000005198088729230221","4.1038408782334557e-11","closed_form"
"closedform_virulence_probe_dataset_epoch=0-step=1999-consumed_samples=16000.0-last__layer_1_merged_testpercent0.9_shuffle_labels_False","finished","-","","","2025-10-21T16:35:17.000Z","4","","2000","1","closed_form","False","0.9","probe_dataset_evo2_7b_merged","37","7","4.393783782382269","0.15000000596046448","1.8911205825524868","0.3982876539230346","0.3984381556510926","0.3969373404979706","4096","1","false","1.711190700531006","4.313314437866211","0.2351059816325031","-0.04935115445434701","2.0768520500666896","1.1338411569595337","2.0510120391845703","closed_form"
"closedform_virulence_probe_dataset_epoch=0-step=999-consumed_samples=8000.0-last__layer_10_merged_testpercent0.9_shuffle_labels_False","finished","-","","","2025-10-21T16:35:11.000Z","4","","1000","10","closed_form","False","0.9","probe_dataset_evo2_7b_merged","37","7","4.393783782382269","0.15000000596046448","1.8911205825524868","2.4991328716278076","2.499324083328247","2.4974172115325928","4096","1","false","1.6413713693618774","4.491761684417725","0.3421225625901037","-0.0927644199676656","2.1193776644141846","0.00002304162444488611","6.375214245402104e-10","closed_form"
"closedform_virulence_probe_dataset_epoch=0-step=1999-consumed_samples=16000.0-last__layer_9_merged_testpercent0.9_shuffle_labels_False","finished","-","","","2025-10-21T16:34:30.000Z","4","","2000","9","closed_form","False","0.9","probe_dataset_evo2_7b_merged","37","7","4.393783782382269","0.15000000596046448","1.8911205825524868","2.3448708057403564","2.345036268234253","2.343386650085449","4096","1","false","1.657057285308838","4.503272533416748","0.3682853413991614","-0.09556466119719896","2.1220915468981887","0.000020878138457192108","5.247867695956643e-10","closed_form"
"closedform_virulence_probe_dataset_epoch=0-step=999-consumed_samples=8000.0-last__layer_31_merged_testpercent0.9_shuffle_labels_False","finished","-","","","2025-10-21T16:34:07.000Z","4","","1000","31","closed_form","False","0.9","probe_dataset_evo2_7b_merged","37","7","4.393783782382269","0.15000000596046448","1.8911205825524868","927425691648","920989138944","985180667904","4096","1","false","1.841966986656189","5.196115970611572","0.05023594170250234","-0.2641207564560297","2.279499061331584","1.1916767358779907","2.2294631004333496","closed_form"
"closedform_virulence_probe_dataset_epoch=0-step=1999-consumed_samples=16000.0-last__layer_7_merged_testpercent0.9_shuffle_labels_False","finished","-","","","2025-10-21T16:34:01.000Z","4","","2000","7","closed_form","False","0.9","probe_dataset_evo2_7b_merged","37","7","4.393783782382269","0.15000000596046448","1.8911205825524868","1.4410121440887451","1.4413421154022217","1.438051462173462","4096","1","false","1.7066853046417236","4.882022380828857","0.3282091395509042","-0.18770758057189865","2.209529900415212","0.000033540098229423165","1.2631442558586061e-9","closed_form"
"closedform_virulence_probe_dataset_epoch=0-step=99-consumed_samples=800.0-last__layer_7_merged_testpercent0.9_shuffle_labels_False","finished","-","","","2025-10-21T16:33:50.000Z","3","","100","7","closed_form","False","0.9","probe_dataset_evo2_7b_merged","37","7","4.393783782382269","0.15000000596046448","1.8911205825524868","1.4298090934753418","1.4301390647888184","1.4268474578857422","4096","1","false","1.4950945377349854","3.736085891723633","0.4025055812976998","0.09107792425957972","1.9328957270695264","0.00002504724034224637","1.0857855725632246e-9","closed_form"
